Código del Campamento,NDBI_2019,NDBI_2024,Cambio_NDBI
1310602,0.11609342240806717,0.08487882118289436,-0.031214601225172806
1311013,0.0584645510680746,0.04735239945610616,-0.011112151611968435
1311905,0.06780812489762555,0.07899594285628675,0.011187817958661195
1311915,-0.03968551691095816,0.04862220294013585,0.08830771985109401
1311916,-0.050249418371881224,0.06290107967045624,0.11315049804233747
1312407,0.06729668476187302,0.09930482525141704,0.03200814048954402
1312504,0.0943915796589626,-0.0065028465300727215,-0.10089442618903532
1312602,0.0038222663212740247,0.054674336979499236,0.05085207065822521
1312605,0.08016652822418624,0.0767470665359919,-0.0034194616881943335
1312606,0.02569435512185948,0.017120867118443937,-0.008573488003415543
1320103,0.11273372345842768,0.13732245458769,0.024588731129262312
1320105,0.08577572753344782,0.0865186576402466,0.0007429301067987809
1320111,0.07431213350999724,0.09888702396408912,0.024574890454091877
1320113,0.09334960574862305,0.07722059359964592,-0.016129012148977134
1330221,0.14440354472078845,0.06539454444748341,-0.07900900027330504
1360104,-0.09959424237098284,-0.025315795987366503,0.07427844638361633
1360109,-0.2524927125116483,-0.2643177930003485,-0.011825080488700235
1360206,-0.20192764359395504,-0.17253565477778807,0.029391988816166975
