comuna,nombre_campamento,anio_llegada,situacion_habitacional_anterior,tipo_vivienda,tiene_electricidad,fuente_agua,tiene_saneamiento,coord_x,coord_y,geometry,antiguedad_hogar
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7449916666667,-33.3833,POINT (-70.7449916666667 -33.3833),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7450066666667,-33.3834666666667,POINT (-70.7450066666667 -33.3834666666667),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.745135,-33.383565,POINT (-70.745135 -33.383565),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7452416666667,-33.3834966666667,POINT (-70.7452416666667 -33.3834966666667),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.74502,-33.383485,POINT (-70.74502 -33.383485),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7449466666667,-33.3834666666667,POINT (-70.7449466666667 -33.3834666666667),
13125,1312504,2022.0,Propietario y pagando dividendo,2.0,No informado,Camión aljibe,No,-70.7447466666667,-33.38364,POINT (-70.7447466666667 -33.38364),2.0
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7444483333333,-33.3838633333333,POINT (-70.7444483333333 -33.3838633333333),
13125,1312504,2022.0,Allegado,2.0,No informado,Camión aljibe,No,-70.7444883333333,-33.3839033333333,POINT (-70.7444883333333 -33.3839033333333),2.0
13125,1312504,2021.0,No informado,3.0,No informado,Camión aljibe,No,-70.7444216666667,-33.3839216666667,POINT (-70.7444216666667 -33.3839216666667),3.0
13125,1312504,2021.0,Allegado,3.0,No informado,Camión aljibe,No,-70.7442166666667,-33.384095,POINT (-70.7442166666667 -33.384095),3.0
13125,1312504,2021.0,Allegado,3.0,No informado,Camión aljibe,No,-70.744185,-33.3840866666667,POINT (-70.744185 -33.3840866666667),3.0
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.744495,-33.384195,POINT (-70.744495 -33.384195),
13125,1312504,2021.0,Propietario y sin deuda,3.0,No informado,Camión aljibe,No,-70.7444616666667,-33.384205,POINT (-70.7444616666667 -33.384205),3.0
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7446766666667,-33.3840333333333,POINT (-70.7446766666667 -33.3840333333333),
13125,1312504,2022.0,Allegado,3.0,No informado,Camión aljibe,No,-70.744825,-33.383905,POINT (-70.744825 -33.383905),2.0
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7449233333333,-33.38382,POINT (-70.7449233333333 -33.38382),
13125,1312504,2021.0,Allegado,3.0,No informado,Camión aljibe,No,-70.7449716666667,-33.383755,POINT (-70.7449716666667 -33.383755),3.0
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.744345,-33.3836416666667,POINT (-70.744345 -33.3836416666667),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7442866666667,-33.3836783333333,POINT (-70.7442866666667 -33.3836783333333),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7442633333333,-33.383695,POINT (-70.7442633333333 -33.383695),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.744315,-33.38364,POINT (-70.744315 -33.38364),
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.743995,-33.3839283333333,POINT (-70.743995 -33.3839283333333),
13125,1312504,2021.0,Propietario y sin deuda,No informado,No informado,No informado,No informado,-70.7448633333333,-33.38338,POINT (-70.7448633333333 -33.38338),3.0
13125,1312504,,No informado,No informado,No informado,No informado,No informado,-70.7447566666667,-33.3835633333333,POINT (-70.7447566666667 -33.3835633333333),
