system:index,Luces_2018,Luces_2020,Luces_2024,Luces_cambio_18_20,Luces_cambio_18_24,Luces_cambio_20_24,NDBI_2018,NDBI_2020,NDBI_2024,NDBI_cambio_18_20,NDBI_cambio_18_24,NDBI_cambio_20_24,NDVI_2018,NDVI_2020,NDVI_2024,NDVI_cambio_18_20,NDVI_cambio_18_24,NDVI_cambio_20_24,NDWI_2018,NDWI_2020,NDWI_2024,NDWI_cambio_18_20,NDWI_cambio_18_24,NDWI_cambio_20_24,Nombre_ofi_std,comuna_id,comuna_str,id_techo,n_familias,nombre_ofi,region,.geo
00000000000000000004,4.322734094450618,5.067614679654149,5.575505407522318,0.744880585203533,1.2527713130717022,0.5078907278681691,0.14688243381405178,0.15970489359536957,0.15798539899309236,0.012822459781318326,0.011102965179040756,-0.0017194946022775586,0.3010995651417894,0.23815787304499636,0.22424080870328097,-0.06294169209679287,-0.07685875643850815,-0.0139170643417154,-0.4222431144745222,-0.38307969976427736,-0.35484845488942623,0.03916341471024512,0.06739465958509588,0.028231244874850847,AGRUPACION IGNACIO CARRERA PINTO ETAPA II,13502,Alhué,6212,110,Agrupacion ignacio carrera pinto etapa II,13,"{""type"":""Polygon"",""coordinates"":[[[-71.0800408590773,-34.025392485627286],[-71.08128400206208,-34.02664541611375],[-71.08082029475865,-34.02708314344532],[-71.0807574575726,-34.027428257607745],[-71.08145682674497,-34.02836597376981],[-71.07843954748814,-34.0302414548722],[-71.07768694699908,-34.026289743520856],[-71.0800408590773,-34.025392485627286]]]}"
00000000000000000043,6.59499979019165,6.789999961853027,9.364999771118164,0.19500017166137695,2.7699999809265137,2.5749998092651367,0.09152297544039469,0.0775773119523242,0.0498348222765637,-0.013945663488070525,-0.04168815316383105,-0.02774248967576051,0.1319036153170063,0.15161087773968634,0.1835441712706978,0.01970726242267992,0.051640555953691374,0.03193329353101143,-0.2310618195137184,-0.24833170785545153,-0.2647177631256107,-0.017269888341733132,-0.03365594361189235,-0.016386055270159242,LA VICTORIA,13402,Buin,4391,34,LA VICTORIA,13,"{""type"":""Polygon"",""coordinates"":[[[-70.69662258743935,-33.02704876906225],[-70.69643890192951,-33.02633747072685],[-70.69637628185309,-33.02612246439209],[-70.69629868739915,-33.02591249986144],[-70.69615012347944,-33.025598106188454],[-70.69602833188688,-33.02534874846442],[-70.69682415134837,-33.025237165983185],[-70.6968457507176,-33.025240622974216],[-70.69688985698954,-33.0256864172892],[-70.69690982279032,-33.026037838892286],[-70.69695102494016,-33.02638678978081],[-70.69696899415857,-33.02701684788645],[-70.69662258743935,-33.02704876906225]]]}"
00000000000000000046,1.5449999570846558,2.0450000762939453,3.5299999713897705,0.5000001192092896,1.9850000143051147,1.4849998950958252,0.07233459790226242,0.06597986082379131,0.055645493052592906,-0.006354737078471102,-0.01668910484966952,-0.010334367771198423,0.14316153795241224,0.1345299765297282,0.11991379155675576,-0.008631561422684019,-0.023247746395656476,-0.014616184972972446,-0.19250035811499108,-0.20653725245501325,-0.18254782361277808,-0.014036894340022176,0.009952534502212949,0.023989428842235122,LAS CAMELIAS,13402,Buin,310,9,Las Camelias,13,"{""type"":""Polygon"",""coordinates"":[[[-70.6809078723683,-33.710807174745824],[-70.68093446407637,-33.711156698754195],[-70.68098238360122,-33.71138261729878],[-70.6810396510574,-33.71187581497471],[-70.68090814463834,-33.71188727924696],[-70.68083327036702,-33.71132220480349],[-70.68081611735049,-33.71112309851559],[-70.68078907185227,-33.71081601755109],[-70.6809078723683,-33.710807174745824]]]}"
0000000000000000004f,22.04813644003034,24.80316782742935,53.23604226082216,2.7550313873990087,31.18790582079181,28.432874433392797,0.06420538729423145,0.034121881337565885,-6.225817537201959E-4,-0.03008350595666557,-0.06482796904795168,-0.0347444630912861,0.245968792039698,0.2335445993906577,0.2837544596134617,-0.01242419264904052,0.03778566757376346,0.050209860222804034,-0.36596235930117593,-0.33424726576098895,-0.37762559135045254,0.0317150935401867,-0.011663232049276303,-0.04337832558946302,LIMITE URBANO,13402,Buin,2000,20,Limite urbano,13,"{""type"":""Polygon"",""coordinates"":[[[-70.73860120106141,-33.71718459197561],[-70.73871172918683,-33.71711795235014],[-70.73903187947123,-33.717485084378794],[-70.73911454862744,-33.71741756182479],[-70.73931745551732,-33.71762507170722],[-70.73922761750453,-33.717686840523186],[-70.73955502706777,-33.7180625296726],[-70.73972281530527,-33.71792065568566],[-70.73981864241652,-33.71779705268775],[-70.73979277998788,-33.71770914667675],[-70.73990702838992,-33.717688667209416],[-70.74003361812758,-33.71768766419759],[-70.7400729108492,-33.717685629965985],[-70.74017118801137,-33.71772143338627],[-70.74008398177708,-33.71790635476275],[-70.74029106252739,-33.717928762892846],[-70.74042463954451,-33.71795014854147],[-70.74063008672981,-33.71800775615276],[-70.74066339021819,-33.717951149585346],[-70.74082137757885,-33.718004548194365],[-70.74077255667702,-33.71808467454208],[-70.7406698331271,-33.718189351960184],[-70.74053117444784,-33.71825235774822],[-70.74050422311599,-33.71828437627041],[-70.74033471099983,-33.71830792571385],[-70.74017808465355,-33.71832074747348],[-70.74013570660064,-33.718366613174105],[-70.74026247776672,-33.71848319421231],[-70.74035830476703,-33.7185674464795],[-70.74058743648236,-33.71868748844219],[-70.74069206569946,-33.7187140548349],[-70.74098943759584,-33.718781894845456],[-70.7414104948236,-33.718874366491384],[-70.74136367037484,-33.71898617330853],[-70.74148182042836,-33.71902312935593],[-70.74130051180859,-33.71951540381548],[-70.74121022045259,-33.71942999334087],[-70.74105849463707,-33.71931004459393],[-70.74065885295832,-33.71907843458489],[-70.74052409632044,-33.71899529042098],[-70.74026374820056,-33.718771210581544],[-70.74000085906614,-33.71851651055493],[-70.73970893126194,-33.71836597767418],[-70.7396914174028,-33.71837571200488],[-70.73960239617068,-33.718302818664974],[-70.73943978037964,-33.718095735741095],[-70.7391827892371,-33.71782663385797],[-70.73906046430736,-33.71772620209061],[-70.73903696122002,-33.717712312845315],[-70.73885274779157,-33.71754040915472],[-70.7387197147975,-33.71738308372429],[-70.73860120106141,-33.71718459197561]]]}"
00000000000000000057,2.2454921737305504,3.1922466025083533,8.136410015279388,0.9467544287778011,5.890917841548837,4.944163412771037,-0.08232756301007058,-0.029902343926414235,-0.0603933871047264,0.052425219083656334,0.021934175905344116,-0.03049104317831223,0.44973542085578305,0.38554228294483106,0.4206472105536153,-0.06419313791095256,-0.029088210302167652,0.03510492760878489,-0.47696544956033127,-0.43707044578475057,-0.4594883513568527,0.03989500377558088,0.017477098203478716,-0.022417905572102156,LOS PALTOS,13402,Buin,311,40,Los Paltos,13,"{""type"":""Polygon"",""coordinates"":[[[-70.70560847921658,-33.69088800717108],[-70.70490923475248,-33.6909100811481],[-70.70490152082337,-33.69012967254877],[-70.70402775872097,-33.69016911088517],[-70.70400144056032,-33.69030911380587],[-70.7038463448874,-33.690331178656926],[-70.7038232030477,-33.690229653986535],[-70.70358561342807,-33.69025448016717],[-70.70353243254196,-33.68973824043596],[-70.70439693883388,-33.689611510304324],[-70.70434720662304,-33.6892243988419],[-70.70543423539748,-33.68916087256087],[-70.70560847921658,-33.69088800717108]]]}"
0000000000000000005c,1.5677821176359619,1.7225501116678674,2.6490977954550936,0.1547679940319047,1.081315677819134,0.926547683787229,-0.005117714981756391,0.016151483369625633,0.014769005004798231,0.021269198351382048,0.01988671998655464,-0.0013824783648274186,0.290900226825499,0.23932711969358314,0.19636060289568072,-0.05157310713191579,-0.09453962392981832,-0.04296651679790253,-0.3815355900057651,-0.31939887160187397,-0.2584665916132425,0.0621367184038907,0.12306899839252242,0.06093227998863167,LOS TUBOS,13402,Buin,5118,60,Los Tubos,13,"{""type"":""Polygon"",""coordinates"":[[[-70.79857026139233,-33.774366716679815],[-70.79802168462541,-33.77501058770233],[-70.79789701624374,-33.774941040268196],[-70.79909778728523,-33.77351494634401],[-70.80035081761065,-33.77208153813247],[-70.80195089874053,-33.770218902702965],[-70.8029889750108,-33.7690314699605],[-70.8030965842148,-33.769084728240614],[-70.80129353691717,-33.77118713966486],[-70.79957395736257,-33.773190447366865],[-70.79857026139233,-33.774366716679815]]]}"
00000000000000000069,18.686009076989123,18.022028992226463,23.400666421187353,-0.6639800847626592,4.71465734419823,5.378637428960886,0.14902664193196477,0.08133428806450031,0.11981034262834236,-0.0676923538674645,-0.029216299303622205,0.03847605456384223,0.1937709422194311,0.171763315806,0.08067185550214317,-0.0220076264134311,-0.1130990867172877,-0.09109146030385663,-0.3433473759690261,-0.2947581133904241,-0.1470444480936522,0.04858926257860167,0.19630292787537357,0.14771366529677185,NUEVA ESPERANZA,13402,Buin,3134,250,Nueva Esperanza,13,"{""type"":""Polygon"",""coordinates"":[[[-70.77155901375943,-33.7237608805749],[-70.77022197058393,-33.724558268579486],[-70.77016380662228,-33.72459257484859],[-70.77033720961262,-33.7247537471361],[-70.77004484723318,-33.724910169930254],[-70.76953098950347,-33.72441741269725],[-70.76916440161477,-33.724653003156064],[-70.76878284138594,-33.724305846797066],[-70.76841316774967,-33.723973246391594],[-70.76845218584508,-33.72390178701179],[-70.76874699920788,-33.72373738790955],[-70.7690669472606,-33.72355642986404],[-70.76937636930087,-33.72336154209665],[-70.77000528483609,-33.7229884892522],[-70.7705248586149,-33.722657338739964],[-70.77075188839831,-33.722898082279684],[-70.77122527508034,-33.723367738536915],[-70.77155901375943,-33.7237608805749]]]}"
0000000000000000007d,14.837317100531235,14.795927632865212,15.093313361406478,-0.04138946766602259,0.25599626087524424,0.297385728541267,0.013013534407274494,0.021297293406971826,5.897417127670021E-4,0.008283758999697348,-0.012423792694507487,-0.020707551694204823,0.18057584282127837,0.18653747335054535,0.2451278428681774,0.005961630529267018,0.06455200004689898,0.058590369517631934,-0.2543356098665115,-0.2725011389385608,-0.3069341784691436,-0.018165529072049397,-0.0525985686026322,-0.034433039530582805,RIBERA SUR DE BUIN,13402,Buin,721,70,Ribera Sur de Buin,13,"{""type"":""Polygon"",""coordinates"":[[[-70.66779498550801,-33.663248343575894],[-70.66724743514251,-33.66339177267429],[-70.66655957014198,-33.66300148966068],[-70.6662882902191,-33.66304330527929],[-70.66614634241664,-33.66281019781051],[-70.66608526128417,-33.662745540301685],[-70.66570307292268,-33.66237722351396],[-70.66551420223827,-33.66224220050141],[-70.66518701377976,-33.6620567035172],[-70.66466696065454,-33.66166081020064],[-70.66439150471412,-33.66143704418379],[-70.66460451793786,-33.6612464498479],[-70.66431472190992,-33.66105969500232],[-70.66433623198749,-33.66102080565046],[-70.6643784353015,-33.66095044924451],[-70.6636774967706,-33.66040217684893],[-70.66374275316528,-33.66031584456586],[-70.66405387810774,-33.66051886400205],[-70.66439386446915,-33.66082903483191],[-70.66436119093709,-33.66087375386919],[-70.66473684566215,-33.661147654376954],[-70.6646958222563,-33.66117968981757],[-70.66495258152425,-33.6613502566718],[-70.66518901049226,-33.66148698512489],[-70.66582750426531,-33.661851630556946],[-70.66588912998766,-33.661791972369556],[-70.66621813315828,-33.661990489390355],[-70.66617493165133,-33.66203046624185],[-70.66649676463314,-33.6622016271265],[-70.66647298566666,-33.66223078833069],[-70.6668250413136,-33.662439522064346],[-70.66683529712003,-33.66242245991087],[-70.66696589980398,-33.66250181906983],[-70.66693658454166,-33.66253115169128],[-70.66741279850439,-33.66285531542261],[-70.66746906922927,-33.66279955268404],[-70.6677947132305,-33.663003269521106],[-70.66776222144763,-33.66304038170606],[-70.66772174285474,-33.66310576239774],[-70.66779498550801,-33.663248343575894]]]}"
0000000000000000008d,13.26045993534624,16.740620611033837,18.796148866416242,3.4801606756875962,5.535688931070008,2.0555282553824115,0.030682407290229023,0.0025228225838878045,0.010524001515181604,-0.028159584706341213,-0.020158405775047416,0.008001178931293798,0.15523839166894102,0.1478361463700443,0.1652397249170512,-0.00740224529889667,0.010001333248110181,0.017403578547006866,-0.27678653040030377,-0.27277661867386893,-0.26376901358476984,0.004009911726434738,0.013017516815533847,0.00900760508909909,TRES PUENTES CALLE VIEJA,13402,Buin,6517,30,Tres puentes calle vieja,13,"{""type"":""Polygon"",""coordinates"":[[[-70.72228758023921,-33.69216504573593],[-70.72210336021772,-33.69244887579689],[-70.72189073573857,-33.692803575257656],[-70.72175561069947,-33.693039823382556],[-70.7216348239459,-33.69328528223034],[-70.72161404245026,-33.693403198715906],[-70.72166513407332,-33.693508414786145],[-70.72179399746737,-33.69366617206204],[-70.72218258391068,-33.69383326200865],[-70.7221089866431,-33.69399569233085],[-70.72216234693198,-33.694019003697996],[-70.72204818494599,-33.69421051892678],[-70.72201224841685,-33.69419437201298],[-70.72186832077509,-33.69425545917839],[-70.72176450408806,-33.694299210929216],[-70.72165823715827,-33.694347411185376],[-70.72144833494536,-33.69425136976647],[-70.72148327327957,-33.693985075622535],[-70.72150251204951,-33.69390796397998],[-70.72153400192121,-33.69382938165135],[-70.7214850882579,-33.69379734567972],[-70.72150078782016,-33.69360939373744],[-70.72144116578036,-33.6935931996917],[-70.72144361600131,-33.69349588867166],[-70.72147501512808,-33.69320791954038],[-70.72160632879441,-33.69293928186344],[-70.72195153745605,-33.69233807128287],[-70.72210435845449,-33.692075036392296],[-70.7222607186051,-33.69181774437202],[-70.7223353140852,-33.691695293161715],[-70.72249566710266,-33.69179745746135],[-70.72228758023921,-33.69216504573593]]]}"
0000000000000000001d,24.818021214772003,23.6058647944787,24.419062571442264,-1.2121564202933028,-0.3989586433297414,0.8131977769635619,0.050722020231311817,0.09980551208569284,0.08449687115737053,0.049083491854381024,0.03377485092605871,-0.015308640928322311,0.22512109857809906,0.22999269628266428,0.14548462468863516,0.004871597704565144,-0.07963647388946397,-0.08450807159402914,-0.394509121863664,-0.3625248611240246,-0.2277056268761838,0.031984260739639316,0.1668034949874804,0.13481923424784104,COMITE PROADELANTO COMUNIDAD ECOLOGICA,13403,Calera de Tango,5122,16,Comite ProAdelanto Comunidad Ecologica,13,"{""type"":""Polygon"",""coordinates"":[[[-70.76699798826934,-33.63156958275208],[-70.76687557993996,-33.63086562053774],[-70.76710224856278,-33.63081465364699],[-70.76778007600487,-33.63067684779498],[-70.76797044824494,-33.63131852875176],[-70.76748988976018,-33.63145635084912],[-70.76699798826934,-33.63156958275208]]]}"
